Sat Mar 21 11:22:10 2020,	 265.0,	 0.00000,	 -7.88000,	 0.00000,	 -0.75000,	 -2.83000,	 -4.44000,	 -1.47000,	2	
Sat Mar 21 11:22:10 2020,	 266.0,	 0.00000,	 -7.90000,	 0.08000,	 -0.69000,	 -2.59000,	 -6.07000,	 -0.70000,	2	
Sat Mar 21 11:22:11 2020,	 267.0,	 0.00000,	 -7.97000,	 0.09000,	 -0.54000,	 -1.87000,	 -4.95000,	 -0.58000,	2	
Sat Mar 21 11:22:11 2020,	 268.0,	 0.00000,	 -8.32000,	 0.25000,	 -0.66000,	 -0.09000,	 -3.40000,	 2.06000,	2	
Sat Mar 21 11:22:12 2020,	 269.0,	 0.00000,	 -7.93000,	 0.15000,	 -0.64000,	 -2.15000,	 -9.82000,	 -2.55000,	2	
Sat Mar 21 11:22:12 2020,	 270.0,	 0.00000,	 -7.92000,	 0.24000,	 -0.72000,	 -1.24000,	 -5.76000,	 -0.31000,	2	
Sat Mar 21 11:22:12 2020,	 271.0,	 0.00000,	 -8.06000,	 0.15000,	 -0.67000,	 -2.89000,	 -4.81000,	 -2.44000,	2	
Sat Mar 21 11:22:13 2020,	 272.0,	 0.00000,	 -7.88000,	 0.29000,	 -0.64000,	 -2.05000,	 -5.47000,	 -0.02000,	2	
Sat Mar 21 11:22:13 2020,	 273.0,	 0.00000,	 -7.88000,	 0.22000,	 -0.60000,	 -2.69000,	 -3.97000,	 -1.06000,	2	
Sat Mar 21 11:22:14 2020,	 274.0,	 0.00000,	 -7.93000,	 0.16000,	 -0.71000,	 -1.22000,	 -1.39000,	 1.45000,	2	
Sat Mar 21 11:22:14 2020,	 275.0,	 0.00000,	 -7.91000,	 0.22000,	 -0.45000,	 -5.05000,	 -5.35000,	 -5.37000,	2	
Sat Mar 21 11:22:14 2020,	 276.0,	 0.00000,	 -8.07000,	 0.16000,	 -0.63000,	 -2.12000,	 -3.10000,	 -1.24000,	2	
Sat Mar 21 11:22:15 2020,	 277.0,	 0.00000,	 -7.89000,	 0.20000,	 -0.64000,	 -2.36000,	 -3.54000,	 -1.58000,	2	
